allowed_adjacent,category,distance_m,link_a,link_b,model,normal_on_b,penetration_m,point_on_a_m,point_on_b_m,state
False,tower_pairs,-0.0699999998835834,right_link_1,Tower,legacy_parameterized_baseline_proxy,"[7.653151413511736e-05, -0.9999999889062013, 0.00012779093949041403]",0.0699999998835834,"[0.25110138191417264, 0.06999999910701878, 0.44438133642018784]","[0.2511067391201532, 1.291309012500149e-15, 0.4443902817859373]",initial
False,tower_pairs,-0.06999999988358337,right_link_2,Tower,legacy_parameterized_baseline_proxy,"[-2.3841587864199305e-07, 0.9999999999999716, -0.0]",0.06999999988358337,"[0.25357493419954213, -0.06999999988358006, 0.3255235302869993]","[0.25357491751043065, 1.3185982534649225e-15, 0.3255235302869993]",initial
False,tower_pairs,-0.05402915647196098,right_joint_1,Tower,legacy_parameterized_baseline_proxy,"[-0.8661131744979347, -7.289320709269956e-09, 0.49984794584064285]",0.05402915647196098,"[0.33694790796219376, 3.938371278219622e-10, 0.48504066545863544]","[0.290152543734818, 1.2786465101266978e-15, 0.5120470283366478]",initial
False,tower_pairs,-0.05190248834629897,right_link_4,Tower,legacy_parameterized_baseline_proxy,"[1.0, -6.432670084957635e-09, 7.668340307423633e-16]",0.05190248834629897,"[0.08809751224974748, 3.338715841200997e-10, 0.04745655932304221]","[0.14000000059604645, 0.0, 0.047456559323042255]",initial
False,tower_pairs,-0.043876532294858085,right_joint_3,Tower,legacy_parameterized_baseline_proxy,"[0.8661131743925296, -4.4564004278941744e-09, -0.49984794602328375]",0.043876532294858085,"[0.22219206353986087, 1.9553270812565743e-10, 0.32201937788910995]","[0.26019410620709676, 1.3108323392917374e-15, 0.30008778334290087]",initial
False,tower_pairs,-0.02950875986039842,right_link_3,Tower,legacy_parameterized_baseline_proxy,"[0.8661131743925293, -2.8751068962895174e-09, -0.4998479460232843]",0.02950875986039842,"[0.2003917910384077, 8.484216091333144e-11, 0.2555005976923687]","[0.22594971671348424, 1.321937748636584e-15, 0.2407507046864542]",initial
False,tower_pairs,-0.01854245924492795,left_link_4,Tower,legacy_parameterized_baseline_proxy,"[-0.9999999999999999, -2.2623568891690574e-09, 0.0]",0.01854245924492795,"[0.018542459244927947, 4.194966041489923e-11, 0.04745655932304224]","[0.0, 0.0, 0.04745655932304224]",initial
False,tower_pairs,0.0064624078580133165,left_joint_2,Tower,legacy_parameterized_baseline_proxy,"[-0.8838332120748176, -0.3676146246381976, -0.2893066556193053]",0.0,"[-0.055811689407425126, 0.025733023608258517, 0.3842814875608318]","[-0.05009999871253967, 0.02810869924724102, 0.38615110516548157]",initial
False,tower_pairs,0.012744500317405719,right_joint_4,Tower,legacy_parameterized_baseline_proxy,"[0.36526000485889454, -1.4069412909376833e-09, -0.9309055423889581]",0.0,"[0.19875178540721497, -1.7929431461296967e-11, 0.17369340963470725]","[0.19409672915935516, 1.3322676295501878e-15, 0.18555733561515808]",initial
True,self_pairs,-0.09169906929541058,left_link_2,left_joint_2,legacy_parameterized_baseline_proxy,"[-0.5828282500358972, -0.31919156809020716, -0.7472803850096751]",0.09169906929541058,"[-0.10701060378630681, 0.03344200582166954, 0.3755087046325082]","[-0.16045541187367143, 0.004172436100854871, 0.30698378882440486]",step1_final
True,self_pairs,-0.09169906929541055,right_link_2,right_joint_2,legacy_parameterized_baseline_proxy,"[0.6065112463200043, 0.18803762967401025, -0.7725192281839559]",0.09169906929541055,"[0.20544374542557725, 0.13237418520700647, 0.3775738075903491]","[0.26106026223032114, 0.14961706084062829, 0.30673451335307145]",step1_final
True,self_pairs,-0.09169906929541055,right_link_2,right_joint_3,legacy_parameterized_baseline_proxy,"[-0.6065112463200043, -0.1880376296740108, 0.7725192281839559]",0.09169906929541055,"[0.2904159710350099, 0.15871825712433535, 0.2693438637217769]","[0.234799454230266, 0.14147538149071348, 0.3401831579590545]",step1_final
True,self_pairs,-0.09169906929541052,left_link_2,left_joint_3,legacy_parameterized_baseline_proxy,"[0.5828282500358969, 0.3191915680902068, 0.7472803850096754]",0.09169906929541052,"[-0.188664841616336, -0.01127673286776847, 0.2708147226926526]","[-0.13522003352897144, 0.017992836853046153, 0.3393396385007559]",step1_final
True,self_pairs,-0.07036495625215958,base_end_mesh,left_link_4,legacy_parameterized_baseline_proxy,"[-0.08443966856530434, 0.9922131606390542, -0.09155864911214019]",0.07036495625215958,"[-0.05330671656071256, -0.0003621169547267749, 0.049223786658360066]","[-0.05924831014525705, 0.06945491868645726, 0.04278126631907749]",step1_final
True,self_pairs,-0.07000000000000003,right_link_3,right_joint_3,legacy_parameterized_baseline_proxy,"[-0.32069297647344386, 0.07469070316540852, -0.9442337177316112]",0.07000000000000003,"[0.27725524147266634, 0.15463801556789425, 0.2861068119861776]","[0.25480673311952523, 0.15986636478947286, 0.2200104517449648]",step1_final
True,self_pairs,-0.07,left_link_1,left_joint_1,legacy_parameterized_baseline_proxy,"[0.3403529952396766, -0.31526782433685907, -0.8858702148561516]",0.07,"[-0.1756245493888855, 0.078357994556427, 0.5049645304679871]","[-0.15179983972210814, 0.056289246852846864, 0.44295361542805645]",step1_final
True,self_pairs,-0.07,left_link_1,left_joint_2,legacy_parameterized_baseline_proxy,"[-0.34035299523967644, 0.31526782433685907, 0.8858702148561516]",0.07,"[-0.11965743437115861, 0.026515845867169374, 0.3592934157750821]","[-0.14348214403793597, 0.04858459357074951, 0.42130433081501273]",step1_final
True,self_pairs,-0.07,left_link_3,left_joint_4,legacy_parameterized_baseline_proxy,"[-0.3105700493646315, -0.023160834884769152, 0.9502682885191376]",0.07,"[-0.11768000851048835, -2.5776540268571124e-09, 0.10853001155115657]","[-0.13941991196601256, -0.0016212610195878677, 0.1750487917474962]",step1_final
True,self_pairs,-0.07,left_link_4,left_joint_4,legacy_parameterized_baseline_proxy,"[0.735107521591318, 7.805587508286838e-11, -0.6779505377974636]",0.07,"[-0.11768000851048835, -2.5776540268571124e-09, 0.10853001155115657]","[-0.06622248199909608, -2.5721901156013117e-09, 0.061073473905334116]",step1_final
True,self_pairs,-0.07,right_link_1,right_joint_1,legacy_parameterized_baseline_proxy,"[-0.31279567381763457, 0.2553335415393085, -0.9148571741020377]",0.07,"[0.2700401071064836, 0.09446777793977316, 0.5112485443291461]","[0.24814440993924916, 0.11234112584752476, 0.44720854214200345]",step1_final
True,self_pairs,-0.07,right_link_1,right_joint_2,legacy_parameterized_baseline_proxy,"[0.31279567381763457, -0.25533354153930865, 0.9148571741020377]",0.07,"[0.21860447498792085, 0.13645442676344757, 0.36081085932594836]","[0.24050017215515526, 0.11858107885569596, 0.42485086151309104]",step1_final
True,self_pairs,-0.06999999999999999,right_link_3,right_joint_4,legacy_parameterized_baseline_proxy,"[0.3206929764734441, -0.07469070316540888, 0.944233717731611]",0.06999999999999999,"[0.2170157312293323, 0.16866804337795774, 0.1087403559543447]","[0.23946423958247337, 0.16343969415637913, 0.17483671619555746]",step1_final
True,self_pairs,-0.06999999999999999,right_link_4,right_joint_4,legacy_parameterized_baseline_proxy,"[-0.742031740127841, 0.04865960899418444, -0.6685963947669635]",0.06999999999999999,"[0.21701573122933226, 0.16866804337795774, 0.10874035595434468]","[0.1650735094203834, 0.17207421600755066, 0.06193860832065724]",step1_final
True,self_pairs,-0.06999999999999998,left_link_3,left_joint_3,legacy_parameterized_baseline_proxy,"[0.310570049364631, 0.023160834884769145, -0.9502682885191377]",0.06999999999999998,"[-0.17601801103148423, -0.004350572913268326, 0.2870300115500786]","[-0.15427810757596006, -0.002729314471334486, 0.22051123135373898]",step1_final
True,self_pairs,-0.060913821829467335,central_body,left_joint_1,legacy_parameterized_baseline_proxy,"[0.6730650580770098, 0.6734707753159731, -0.30564774232945663]",0.060913821829467335,"[-0.16950896035083787, 0.0844772700135947, 0.5021873606237606]","[-0.12850999532349483, 0.12550094882854512, 0.4835691885049251]",step1_final
True,self_pairs,-0.06091381731178643,central_body,right_joint_1,legacy_parameterized_baseline_proxy,"[-0.6640928252091793, -0.6995745309125597, -0.26377299938424814]",0.06091381731178643,"[0.264006038374701, 0.08811131594788033, 0.5088518546685228]","[0.22355360934184093, 0.04549756077589397, 0.4927844343722487]",step1_final
True,self_pairs,-0.05518697841450449,base_end_mesh,left_joint_4,legacy_parameterized_baseline_proxy,"[-0.9876884013843477, 0.1564340812302147, 7.002979005227773e-07]",0.05518697841450449,"[-0.13231065811993822, 0.002317258844316303, 0.10853002192468449]","[-0.18681819660739266, 0.010950383108461005, 0.1085300605720096]",step1_final
True,self_pairs,-0.05106536616925729,central_body,right_link_1,legacy_parameterized_baseline_proxy,"[0.20855141392887497, -0.2383247647106054, 0.9485291847243824]",0.05106536616925729,"[0.25209325459687604, 0.10782853369493153, 0.4651685949325326]","[0.2627430089142704, 0.09565839231778238, 0.5136055850727103]",step1_final
True,self_pairs,-0.051036135472680474,central_body,left_link_1,legacy_parameterized_baseline_proxy,"[-0.23760148572503942, 0.32382423485586076, 0.915796592536394]",0.051036135472680474,"[-0.15630568210888762, 0.06243020577331631, 0.46032065794349747]","[-0.16843194372286088, 0.07895694329275713, 0.507059376905604]",step1_final
False,self_pairs,-0.0432981385908211,right_joint_2,right_joint_3,legacy_parameterized_baseline_proxy,"[-0.6065112463200043, -0.18803762967401053, 0.7725192281839558]",0.0432981385908211,"[0.2610602622303212, 0.1496170608406283, 0.30673451335307145]","[0.234799454230266, 0.1414753814907135, 0.3401831579590545]",step1_final
False,self_pairs,-0.043298138590821086,left_joint_2,left_joint_3,legacy_parameterized_baseline_proxy,"[0.5828282500358971, 0.319191568090207, 0.7472803850096752]",0.043298138590821086,"[-0.16045541187367143, 0.004172436100854878, 0.3069837888244048]","[-0.13522003352897144, 0.017992836853046167, 0.3393396385007559]",step1_final
True,self_pairs,-0.03626531213850308,left_link_2,left_link_3,legacy_parameterized_baseline_proxy,"[0.061804239202000746, 0.1329930388213096, 0.9891880951779268]",0.03626531213850308,"[-0.15219316085796325, 0.0017571641810543385, 0.25388118298087503]","[-0.14995181083182, 0.006580198246157189, 0.28975439801619385]",step1_final
True,self_pairs,-0.0353804482607841,right_link_2,right_link_3,legacy_parameterized_baseline_proxy,"[-0.06544235004927161, -0.13678840622439756, 0.9884362552752798]",0.0353804482607841,"[0.25254114829605856, 0.1551308114828624, 0.25422967182538425]","[0.2502257686160762, 0.150291176353765, 0.28920098961423446]",step1_final
True,self_pairs,-0.0348878752886439,left_link_1,left_link_2,legacy_parameterized_baseline_proxy,"[0.041160211181767034, 0.3566286726515439, 0.9333390738945146]",0.0348878752886439,"[-0.14636335882065968, 0.02362058648514144, 0.3559705956423967]","[-0.14492736650609594, 0.036062603140963115, 0.3885328128544469]",step1_final
True,self_pairs,-0.03486259396176766,right_link_1,right_link_2,legacy_parameterized_baseline_proxy,"[-0.07037800143301591, -0.2563858235068972, 0.9640089451965601]",0.03486259396176766,"[0.2454266322554664, 0.13652808650117876, 0.35737023534933177]","[0.24297307256766645, 0.12758981163870436, 0.3909780877812314]",step1_final
True,self_pairs,-0.0282342087842802,l8_end_mesh,right_link_4,legacy_parameterized_baseline_proxy,"[-0.4749733033434149, 0.057773501290948735, -0.8781016932335508]",0.0282342087842802,"[0.13033185072998954, 0.17546452092764206, 0.011834953587166977]","[0.11692135531643232, 0.1770957100252896, -0.01295755295341906]",step1_final
True,self_pairs,-0.013984228617116679,base_end_mesh,left_link_3,legacy_parameterized_baseline_proxy,"[1.892756532063557e-10, -2.2902730498593147e-09, -0.9999999999999999]",0.013984228617116679,"[-0.13941991195541015, -0.0016212611478792793, 0.11903302036461288]","[-0.13941991195276326, -0.0016212611799069812, 0.1050487917474962]",step1_final
True,self_pairs,-0.004534634278953897,left_link_3,left_link_4,legacy_parameterized_baseline_proxy,"[-0.5403405481342484, -0.011968066071856997, 0.8413613120630634]",0.004534634278953897,"[-0.10159607359661517, -0.0007834963945578776, 0.11615349990308177]","[-0.10404632036849347, -0.0008377671972201055, 0.11996876574974856]",step1_final
True,self_pairs,-0.004521151232453058,right_link_3,right_link_4,legacy_parameterized_baseline_proxy,"[0.5490947910970866, -0.06373335712341745, 0.8333264483861206]",0.004521151232453058,"[0.2010276042056773, 0.16790102915501837, 0.11650386480852905]","[0.20351014479717947, 0.16761288100891145, 0.12027145970768569]",step1_final
False,self_pairs,0.005994401019827317,left_link_3,left_joint_2,legacy_parameterized_baseline_proxy,"[-0.23713699267206578, -0.20031699937953173, -0.9505993617008319]",0.0,"[-0.13767851808891546, 0.011292875485232738, 0.28705318667279717]","[-0.13625702385820324, 0.012493655910602152, 0.29275146045602385]",step1_final
False,self_pairs,0.007253105607090138,right_link_3,right_joint_2,legacy_parameterized_baseline_proxy,"[0.2458505576663454, 0.1589911325095883, -0.9561795454194079]",0.0,"[0.23759719408288105, 0.14873698551380166, 0.2869430199243234]","[0.23581401402456503, 0.14758380603911875, 0.2938782911465898]",step1_final
False,self_pairs,0.007953733666217405,left_link_1,left_joint_3,legacy_parameterized_baseline_proxy,"[0.21990568394136603, 0.3577818901376237, 0.907542621180862]",0.0,"[-0.15887554191383163, 0.023539861261115846, 0.3577763473323524]","[-0.16062461315558862, 0.020694159396365333, 0.350557995032739]",step1_final
False,self_pairs,0.007989692494879908,right_link_1,right_joint_3,legacy_parameterized_baseline_proxy,"[-0.24836236022845068, -0.2436449194827928, 0.9375250883213614]",0.0,"[0.25788553737114683, 0.13563622321949148, 0.35922410533059573]","[0.25986987625667474, 0.13758287120409876, 0.3517335681686729]",step1_final
False,tower_pairs,-0.018542464998661405,left_link_4,Tower,legacy_parameterized_baseline_proxy,"[-0.9999999999999988, -4.9956188658521346e-08, 0.0]",0.018542464998661405,"[0.01854246499866138, 9.263108796671579e-10, 0.047456549219252936]","[0.0, 0.0, 0.047456549219252936]",step1_final
False,tower_pairs,-0.00219533119124804,right_link_2,Tower,legacy_parameterized_baseline_proxy,"[-0.2195027958226115, 0.9673525982217273, 0.12667862226804597]",0.00219533119124804,"[0.2633253795001924, 0.07784094117163368, 0.3145527061358906]","[0.26284349816595687, 0.07996460050344467, 0.31483080766661997]",step1_final
False,tower_pairs,0.0031156348826218427,left_joint_2,Tower,legacy_parameterized_baseline_proxy,"[-0.9513346327401089, -0.13571350573304608, -0.27666633497931864]",0.0,"[-0.05306401007935099, 0.0360157912684826, 0.37866005922363444]","[-0.05009999871253967, 0.03643862500098738, 0.3795220505077431]",step1_final
False,tower_pairs,0.00774676224084922,right_joint_3,Tower,legacy_parameterized_baseline_proxy,"[0.24246869231511348, 0.9600144778352936, -0.13993261090120265]",0.0,"[0.2602824330106083, 0.08743700211942369, 0.29590209474926177]","[0.2584040857003935, 0.07999999821186066, 0.29698611941565467]",step1_final
