allowed_adjacent,category,distance_m,link_a,link_b,model,normal_on_b,penetration_m,point_on_a_m,point_on_b_m,state
True,self_pairs,-0.07,left_link_3,left_joint_4,legacy_parameterized_baseline_proxy,"[-0.898587747327942, -0.4385400517070248, 0.014922580235824037]",0.07,"[-0.1591213637731383, 0.08230378138963343, 0.24546266776151462]","[-0.22202250608609425, 0.05160597777014169, 0.24650724837802232]",step2_final
True,self_pairs,-0.07,right_link_1,right_joint_2,legacy_parameterized_baseline_proxy,"[-0.4574429103436849, -0.867966670862252, -0.1933386718910595]",0.07,"[-0.10147717742006587, -0.3394321388418473, 0.2212577294783422]","[-0.13349818114412382, -0.400189805802205, 0.20772402244596805]",step2_final
True,self_pairs,-0.07,right_link_3,right_joint_3,legacy_parameterized_baseline_proxy,"[0.4493985287035494, 0.879160137008681, 0.15848790456676032]",0.07,"[-0.006145288336458318, -0.32483754375533525, 0.21418109765157983]","[0.025312608672790143, -0.2632963341647276, 0.22527525097125306]",step2_final
True,self_pairs,-0.07,right_link_3,right_joint_4,legacy_parameterized_baseline_proxy,"[-0.4493985287035494, -0.879160137008681, -0.15848790456676032]",0.07,"[0.0782704901781623, -0.15969461901388587, 0.2439517332781586]","[0.04681259316891384, -0.22123582860449353, 0.23285757995848538]",step2_final
True,self_pairs,-0.06999999999999999,left_link_4,left_joint_4,legacy_parameterized_baseline_proxy,"[0.9969585557574135, -0.06655763466512322, 0.040542809101937936]",0.06999999999999999,"[-0.1591213637731383, 0.08230378138963343, 0.24546266776151462]","[-0.08933426487011936, 0.0776447469630748, 0.24830066439865028]",step2_final
True,self_pairs,-0.06999999999999998,left_link_3,left_joint_3,legacy_parameterized_baseline_proxy,"[0.8985877473279421, 0.43854005170702465, -0.014922580235824427]",0.06999999999999998,"[-0.3279136036436564, -7.232246964495107e-05, 0.2482657504322302]","[-0.2650124613307005, 0.030625481149846766, 0.24722116981572248]",step2_final
True,self_pairs,-0.06999999999999998,right_link_4,right_joint_4,legacy_parameterized_baseline_proxy,"[-0.05193121151429112, 0.9974647089741958, 0.0486549444731036]",0.06999999999999998,"[0.0782704901781623, -0.15969461901388585, 0.2439517332781586]","[0.07463530537216193, -0.08987208938569216, 0.24735757939127587]",step2_final
True,self_pairs,-0.060913821829467335,central_body,left_joint_1,legacy_parameterized_baseline_proxy,"[0.7373641452036674, -0.365382332363164, 0.5681459922985638]",0.060913821829467335,"[-0.481671907850886, -0.1725524911565503, 0.2566972145251547]","[-0.4367562396865123, -0.1948093254497553, 0.29130515827315534]",step2_final
True,self_pairs,-0.06091381731178636,central_body,right_joint_1,legacy_parameterized_baseline_proxy,"[-0.9334651660234401, -0.013715808308959243, 0.3584057204109099]",0.06091381731178636,"[-0.1851800102531151, -0.48228384705985705, 0.19272196005617506]","[-0.24204093684318323, -0.4831193293014725, 0.21455382063278441]",step2_final
True,self_pairs,-0.05518697841450446,base_end_mesh,left_joint_4,legacy_parameterized_baseline_proxy,"[-0.6876666462290293, 0.707500518803632, 0.1629650255628816]",0.05518697841450446,"[-0.16930778464735424, 0.09278400184642091, 0.24787667220285842]","[-0.20725802900917034, 0.13182881770588767, 0.2568702195509163]",step2_final
True,self_pairs,-0.0511547562865233,central_body,left_link_1,legacy_parameterized_baseline_proxy,"[-0.8359935452191445, -0.5430466817446922, 0.07883586619049353]",0.0511547562865233,"[-0.44196478271828427, -0.14787825326081414, 0.24684464791723484]","[-0.4847298287810762, -0.17565767391766904, 0.2508774774388465]",step2_final
True,self_pairs,-0.0510605182805428,central_body,right_link_1,legacy_parameterized_baseline_proxy,"[-0.5495384876288157, -0.8122901396358198, -0.19542819567568645]",0.0510605182805428,"[-0.15508534563806867, -0.4367859100100156, 0.19929781849692868]","[-0.18314506563150165, -0.478261865533995, 0.18931915353909679]",step2_final
False,self_pairs,-0.0432981385908211,right_joint_2,right_joint_3,legacy_parameterized_baseline_proxy,"[-0.9858330304545584, -0.1509236210537598, 0.07317989254435042]",0.0432981385908211,"[-0.03246886528824679, -0.3288674853680842, 0.21613513700023768]","[-0.07515360046827742, -0.3354021972290984, 0.21930369012968437]",step2_final
False,self_pairs,-0.04329813859082107,left_joint_2,left_joint_3,legacy_parameterized_baseline_proxy,"[-0.1492565741036832, -0.9819444221481292, -0.11622231669954056]",0.04329813859082107,"[-0.3318990319997818, -0.026292066341360595, 0.24516239823906535]","[-0.33836156383091426, -0.06880843202001401, 0.24013018826326235]",step2_final
True,self_pairs,-0.03492806431645212,left_link_2,left_link_3,legacy_parameterized_baseline_proxy,"[-0.6672607038200807, -0.7435537624882617, -0.0434851173055819]",0.03492806431645212,"[-0.28841458581923723, 0.0045476114145984285, 0.24569606257838958]","[-0.31172071059810613, -0.02142328222433154, 0.24417721160433176]",step2_final
True,self_pairs,-0.03489228566210714,right_link_2,right_link_3,legacy_parameterized_baseline_proxy,"[-0.7523191841592732, -0.6548611715743156, -0.07192142316611998]",0.03489228566210714,"[-0.0010995983355902399, -0.2862870131073365, 0.22275025419196223]","[-0.02734973421835899, -0.30913661617492966, 0.22024075134962467]",step2_final
True,self_pairs,-0.03485109823520857,left_link_1,left_link_2,legacy_parameterized_baseline_proxy,"[-0.6597375675230094, -0.7514770402023027, 0.005347901234103593]",0.03485109823520857,"[-0.358326811695462, -0.07401293906636167, 0.24282845499045422]","[-0.38131939047066393, -0.1002027392159559, 0.24301483522171616]",step2_final
True,self_pairs,-0.03477363213260816,right_link_1,right_link_2,legacy_parameterized_baseline_proxy,"[-0.7568222511937291, -0.6466764908992736, -0.09502418753274058]",0.03477363213260816,"[-0.08052062356056278, -0.3549224514392559, 0.21437571557325988]","[-0.10683808211334588, -0.3774097418425931, 0.2110713794322964]",step2_final
True,self_pairs,-0.028234208784280207,l8_end_mesh,right_link_4,legacy_parameterized_baseline_proxy,"[0.28504941601419265, 0.9567685505624994, 0.05779940384209576]",0.028234208784280207,"[0.08549755931312737, -0.029877391250879227, 0.250748872463022]","[0.09354570403870924, -0.0028637882360644656, 0.2523807928987067]",step2_final
True,self_pairs,-0.013984226618224842,base_end_mesh,left_link_3,legacy_parameterized_baseline_proxy,"[0.7231656470718736, 0.6873806227980456, 0.06737452260973278]",0.013984226618224842,"[-0.18151382308223138, 0.09011013496382049, 0.2502812843682344]","[-0.1714009107910631, 0.09972262136600489, 0.2512234649607036]",step2_final
True,self_pairs,-0.004941548655995026,right_link_3,right_link_4,legacy_parameterized_baseline_proxy,"[-0.20600496989545175, -0.9726436066130151, -0.10736091883548839]",0.004941548655995026,"[0.06123294106159547, -0.1531507761415825, 0.2403728442769696]","[0.0602149574794803, -0.1579571418486032, 0.2398423150727917]",step2_final
True,self_pairs,-0.004769074546187413,left_link_3,left_link_4,legacy_parameterized_baseline_proxy,"[-0.9811974647862174, -0.19255040299067178, -0.01326187789227624]",0.004769074546187413,"[-0.153338683551059, 0.06508450597948871, 0.24743557983048167]","[-0.15801808740515458, 0.06416621875372777, 0.24737233294619096]",step2_final
False,self_pairs,0.007896570721600493,left_link_3,left_joint_2,legacy_parameterized_baseline_proxy,"[0.5228960379474462, 0.8496049396446522, 0.06892880406818024]",0.0,"[-0.3016151839870217, -0.028846864625278863, 0.24239615353094987]","[-0.3057442695307184, -0.03555583011660398, 0.24185185235487014]",step2_final
False,self_pairs,0.007947460573849402,right_link_3,right_joint_2,legacy_parameterized_baseline_proxy,"[0.8569919726980895, 0.5146137985863966, 0.027155055432029243]",0.0,"[-0.03467682941607613, -0.29931930006577534, 0.223374397091011]","[-0.04148773933119962, -0.3034091729407996, 0.22315858335858427]",step2_final
False,self_pairs,0.008006043381262762,left_link_1,left_joint_3,legacy_parameterized_baseline_proxy,"[-0.5175115558025445, -0.8549921781565446, -0.034207673144444666]",0.0,"[-0.3682826325158945, -0.06676687940956473, 0.24559734519695262]","[-0.36413941254983456, -0.05992177494060309, 0.24587121331211909]",step2_final
False,self_pairs,0.008116226397622606,right_link_1,right_joint_3,legacy_parameterized_baseline_proxy,"[-0.8598172928453005, -0.508737387385122, -0.04359465105651264]",0.0,"[-0.07331097064495279, -0.3645781886852465, 0.21077564801992393]","[-0.06633249883562936, -0.3604491608722938, 0.21112947207762395]",step2_final
False,self_pairs,0.009128012711990346,l8_end_mesh,left_link_4,legacy_parameterized_baseline_proxy,"[0.9078702035325017, 0.41611428605828515, 0.05119174226433065]",0.0,"[0.0025280364436121687, 0.10923420510015772, 0.25316568478312285]","[-0.00575901431506977, 0.10543590860737691, 0.2526984059089851]",step2_final
False,tower_pairs,-0.0006900714376551209,left_link_4,Tower,legacy_parameterized_baseline_proxy,"[-1.0, -1.0011399589981733e-16, 2.0022799179963466e-16]",0.0006900714376551209,"[0.0006900714376551209, 0.07630790858329695, 0.24911498395048193]","[0.0, 0.07630790858329695, 0.24911498395048193]",step2_final
False,tower_pairs,-0.00016241322456056473,right_link_4,Tower,legacy_parameterized_baseline_proxy,"[-2.2852244351317225e-15, -1.0, -1.0333188750160833e-14]",0.00016241322456056473,"[0.0735922449177159, 0.00016241322456056473, 0.24833483462976072]","[0.0735922449177159, 0.0, 0.24833483462976072]",step2_final
