segment_id,s_m,x_m,y_m,z_m,yaw_rad,vertical_progress_m,position_error_m,normal_error_deg,failure_reason
0,0.17000000000157175,-0.0017035460344529036,0.06999995979742638,37.854998774802745,0.0,37.779722091646796,inf,inf,GEOMETRICALLY_UNREACHABLE
0,0.0,-0.001688124994825987,0.06999995979854666,37.68499877550061,0.0,37.60972209234466,inf,inf,GEOMETRICALLY_UNREACHABLE
1,0.14000000000128476,-0.0016731107036605853,0.06999995979963738,37.51948273057811,0.0,37.44420604742216,inf,inf,GEOMETRICALLY_UNREACHABLE
1,0.0,-0.0016604110239678306,0.06999995980055995,37.379482731152834,0.0,37.304206047996885,inf,inf,GEOMETRICALLY_UNREACHABLE
2,0.5400000000049803,-0.0016467739134942184,0.06999995980155063,37.22914858850847,0.0,37.153871905352524,inf,inf,GEOMETRICALLY_UNREACHABLE
2,0.5,-0.0016431454335815842,0.06999995980181423,37.18914858866806,0.0,37.11387190551211,inf,inf,GEOMETRICALLY_UNREACHABLE
2,0.25,-0.001620467434130446,0.06999995980346169,36.93914858969665,0.0,36.8638719065407,inf,inf,GEOMETRICALLY_UNREACHABLE
2,0.0,-0.0015977894346793072,0.06999995980510915,36.68914859072523,0.0,36.61387190756928,inf,inf,GEOMETRICALLY_UNREACHABLE
3,0.020000000000186577,-0.0015805846016942273,0.069999959806359,36.499484231757386,0.0,36.42420754860144,inf,inf,GEOMETRICALLY_UNREACHABLE
3,0.0,-0.0015787703617381197,0.06999995980649079,36.479484231839486,0.0,36.40420754868354,inf,inf,GEOMETRICALLY_UNREACHABLE
4,0.650000000005992,-0.001564847492987427,0.06999995980750223,36.325999918514064,0.0,36.250723235358116,inf,inf,GEOMETRICALLY_UNREACHABLE
4,0.5,-0.0015512406933162004,0.06999995980849072,36.175999919125225,0.0,36.10072323596928,inf,inf,GEOMETRICALLY_UNREACHABLE
4,0.25,-0.0015285626938650618,0.06999995981013818,35.92599992015381,0.0,35.85072323699786,inf,inf,GEOMETRICALLY_UNREACHABLE
4,0.0,-0.001505884694413923,0.06999995981178564,35.67599992118239,0.0,35.60072323802644,inf,inf,GEOMETRICALLY_UNREACHABLE
5,0.11000000000101909,-0.0014828436450208457,0.06999995981345947,35.42199769594288,0.0,35.34672101278693,inf,inf,GEOMETRICALLY_UNREACHABLE
5,0.0,-0.0014728653252622525,0.06999995981418436,35.311997696394435,0.0,35.23672101323849,inf,inf,GEOMETRICALLY_UNREACHABLE
6,0.7100000000064237,-0.0013982534179075696,0.06999995981960459,34.48948348820269,0.0,34.41420680504674,inf,inf,GEOMETRICALLY_UNREACHABLE
6,0.5,-0.0013792038983680306,0.06999995982098846,34.27948348906027,0.0,34.20420680590432,inf,inf,GEOMETRICALLY_UNREACHABLE
6,0.25,-0.001356525898916892,0.06999995982263592,34.02948349008885,0.0,33.9542068069329,inf,inf,GEOMETRICALLY_UNREACHABLE
6,0.0,-0.0013338478994657536,0.06999995982428338,33.77948349111744,0.0,33.70420680796149,inf,inf,GEOMETRICALLY_UNREACHABLE
7,0.6200000000056127,-0.0013084484741661554,0.06999995982612854,33.49948276563655,0.0,33.4242060824806,inf,inf,GEOMETRICALLY_UNREACHABLE
7,0.5,-0.0012975630344290994,0.06999995982691931,33.37948276612466,0.0,33.30420608296871,inf,inf,GEOMETRICALLY_UNREACHABLE
7,0.25,-0.0012748850349779614,0.06999995982856679,33.12948276715324,0.0,33.05420608399729,inf,inf,GEOMETRICALLY_UNREACHABLE
7,0.0,-0.001252207035526823,0.06999995983021423,32.87948276818182,0.0,32.804206085025875,inf,inf,GEOMETRICALLY_UNREACHABLE
8,0.060000000000538414,-0.0012380121217286657,0.06999995983124543,32.72299945744779,0.0,32.64772277429184,inf,inf,GEOMETRICALLY_UNREACHABLE
8,0.0,-0.0012325694018603432,0.06999995983164083,32.66299945769411,0.0,32.587722774538165,inf,inf,GEOMETRICALLY_UNREACHABLE
9,0.5100000000046081,-0.0012168292680296649,0.06999995983278429,32.48948179578756,0.0,32.41420511263161,inf,inf,GEOMETRICALLY_UNREACHABLE
9,0.5,-0.0012159221480512008,0.06999995983285019,32.47948179582409,0.0,32.404205112668144,inf,inf,GEOMETRICALLY_UNREACHABLE
9,0.25,-0.0011932441486000621,0.06999995983449764,32.22948179685268,0.0,32.15420511369673,inf,inf,GEOMETRICALLY_UNREACHABLE
9,0.0,-0.0011705661491489235,0.06999995983614513,31.979481797881263,0.0,31.904205114725315,inf,inf,GEOMETRICALLY_UNREACHABLE
10,0.17000000000153978,-0.0011569156223651459,0.06999995983713678,31.828999755174785,0.0,31.753723072018836,inf,inf,GEOMETRICALLY_UNREACHABLE
10,0.0,-0.0011414945827382323,0.06999995983825705,31.65899975587268,0.0,31.583723072716733,inf,inf,GEOMETRICALLY_UNREACHABLE
11,0.12000000000108396,-0.0011263456196934092,0.06999995983935756,31.49199910161375,0.0,31.416722418457802,inf,inf,GEOMETRICALLY_UNREACHABLE
11,0.0,-0.001115460179956764,0.06999995984014833,31.371999102106386,0.0,31.296722418950438,inf,inf,GEOMETRICALLY_UNREACHABLE
12,0.060760680014204746,-0.0010635778905159392,0.06999995984391737,30.800053929659096,0.0,30.724777246503148,inf,inf,GEOMETRICALLY_UNREACHABLE
12,0.0,-0.0010581348804254878,0.0660260579921507,30.74005391298413,0.0,30.664777229828182,inf,inf,GEOMETRICALLY_UNREACHABLE
13,0.2800000000025304,-0.0010326840695657803,0.06999995984616167,30.459483535766832,0.0,30.384206852610884,inf,inf,GEOMETRICALLY_UNREACHABLE
13,0.25,-0.001029962709631414,0.06999995984635936,30.429483535887734,0.0,30.354206852731785,inf,inf,GEOMETRICALLY_UNREACHABLE
13,0.0,-0.0010072847101802755,0.06999995984800683,30.179483536916315,0.0,30.104206853760367,inf,inf,GEOMETRICALLY_UNREACHABLE
14,0.5000000000045219,-0.0009937122885292538,0.06999995984899281,30.029862517385656,0.0,29.954585834229707,inf,inf,GEOMETRICALLY_UNREACHABLE
