segment_id,s_m,x_m,y_m,z_m,yaw_rad,vertical_progress_m,position_error_m,normal_error_deg,failure_reason,detail
7,0.0,0.0699998268611637,2.5526079785875293e-10,33.671859963284525,0.0,33.42011937906507,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
8,0.16000000003333525,0.06999982686116368,2.526690713948768e-10,33.48948340944469,0.0,33.23774282522523,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
8,0.12,0.0699998268611637,2.521006372597935e-10,33.44948340941136,0.0,33.1977428251919,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
8,0.0,0.0699998268611637,2.503953348559644e-10,33.32948340941135,0.0,33.0777428251919,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
9,0.47067669965113434,0.06999982686116368,2.4817237902247175e-10,33.17305678418631,0.0,32.92131619996685,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
9,0.36,0.0699998268611637,2.4659956867278054e-10,33.06238008453517,0.0,32.810639500315716,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
9,0.24,0.0699998268611637,2.4489426626895156e-10,32.94238008453517,0.0,32.69063950031572,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
9,0.12,0.06999982686116368,2.4318896386512253e-10,32.822380084535176,0.0,32.57063950031572,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
9,0.0,0.06625904612018409,2.414931751970484e-10,32.70305686044866,0.0,32.45131627622921,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
10,0.050000000010413714,0.0699998268611637,2.3831606130767777e-10,32.47948001849386,0.0,32.227739434274405,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
10,0.0,0.0699998268611637,2.3760551863926765e-10,32.429480018483446,0.0,32.17773943426399,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
11,0.61000000012708,0.06999982686116368,2.353500921105792e-10,32.27076847099785,0.0,32.019027886778396,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
11,0.6,0.0699998268611637,2.35207983575121e-10,32.26076847087077,0.0,32.00902788665132,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
11,0.48,0.06999982686116368,2.335026811712919e-10,32.140768470870775,0.0,31.88902788665132,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
11,0.36,0.0699998268611637,2.3179737876746276e-10,32.02076847087077,0.0,31.769027886651315,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
11,0.24,0.0699998268611637,2.3009207636363386e-10,31.90076847087077,0.0,31.649027886651314,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
11,0.12,0.06999982686116368,2.283867739598048e-10,31.78076847087077,0.0,31.529027886651313,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
