step,q1,q2,q3,q4,q5,q6,q7,q8
0,0.07775024483805826,-0.11677464090192746,-0.11789993380492858,-0.24986961290880894,-0.12896709821608088,0.19733995305998908,0.10466563506732735,0.323381539924362
1,0.17958982714995428,-0.14171862522283024,-0.09980858848616937,-0.187260573569582,-0.009414886268572037,0.10610173145722607,0.10259431746436062,0.36961868645098417
2,0.2801810697728653,-0.1713609592400111,-0.07778580342461563,-0.12635862409597345,0.10908728147892044,0.010840071682817962,0.0970312371120184,0.4103640908937263
3,0.38077231239577625,-0.20100329325719196,-0.0557630183630619,-0.0654566746223649,0.2275894492264129,-0.08442158809159016,0.09146815675967618,0.4511094953364684
4,0.4813635550186872,-0.23064562727437282,-0.03374023330150816,-0.00455472514875635,0.34609161697390534,-0.17968324786599826,0.08590507640733396,0.4918548997792105
5,0.5819547976415982,-0.2602879612915537,-0.011717448239954423,0.056347224324852195,0.4645937847213978,-0.27494490764040636,0.08034199605499173,0.5326003042219526
6,0.6825460402645092,-0.28993029530873454,0.010305336821599311,0.11724917379846074,0.5830959524688902,-0.37020656741481445,0.07477891570264951,0.5733457086646947
7,0.7831372828874201,-0.3195726293259154,0.03232812188315304,0.17815112327206928,0.7015981202163827,-0.46546822718922254,0.06921583535030729,0.6140911131074368
8,0.8837285255103311,-0.34921496334309626,0.054350906944706776,0.23905307274567783,0.8201002879638751,-0.5607298869636307,0.06365275499796505,0.6548365175501789
9,0.9843197681332422,-0.3788572973602771,0.07637369200626051,0.2999550222192864,0.9386024557113676,-0.6559915467380388,0.05808967464562282,0.695581921992921
10,1.0849110107561533,-0.408499631377458,0.09839647706781425,0.36085697169289493,1.0571046234588601,-0.7512532065124469,0.05252659429328059,0.7363273264356631
11,1.1855022533790642,-0.43814196539463884,0.12041926212936799,0.4217589211665035,1.1756067912063526,-0.846514866286855,0.04696351394093836,0.7770727308784052
12,1.2701848118372074,-0.4630963114966722,0.13895910451283786,0.47302911886996724,1.2753676300828782,-0.9267107249154937,0.042280244653664735,0.8113741770446277
13,1.3676119933103712,-0.43270574057482253,0.11123822422093478,0.5431128711015732,1.385236138243318,-0.9582489581712125,0.07843110734880544,0.9090038029904666
14,1.4694515756222672,-0.4576497248957253,0.129329569539694,0.6057219104408001,1.5047883501908268,-1.0494871797739755,0.07635978974583872,0.9552409495170887
