step,q1,q2,q3,q4,q5,q6,q7,q8
0,0.07775024483805826,-0.11677464090192746,-0.11789993380492858,-0.24986961290880894,-0.12896709821608088,0.19733995305998908,0.10466563506732735,0.323381539924362
1,0.10908775075568476,-0.13492365272431572,-0.10238133510880384,-0.22210910651641022,-0.09926944501097484,0.1701276303432031,0.1122084351579743,0.32942591787297004
2,0.14042525667331127,-0.15307266454670398,-0.08686273641267911,-0.19434860012401153,-0.06957179180586882,0.14291530762641713,0.11975123524862126,0.3354702958215781
3,0.17176276259093776,-0.17122167636909227,-0.07134413771655437,-0.16658809373161282,-0.039874138600762804,0.11570298490963116,0.1272940353392682,0.34151467377018613
4,0.20310026850856427,-0.18937068819148054,-0.055825539020429644,-0.13882758733921413,-0.01017648539565677,0.08849066219284518,0.13483683542991518,0.34755905171879414
5,0.2344377744261908,-0.2075197000138688,-0.040306940324304916,-0.11106708094681542,0.019521167809449264,0.06127833947605921,0.14237963552056213,0.3536034296674022
6,0.26577528034381726,-0.22566871183625709,-0.02478834162818018,-0.0833065745544167,0.04921882101455527,0.03406601675927323,0.14992243561120908,0.35964780761601023
7,0.2971127862614438,-0.24381772365864535,-0.009269742932055444,-0.055546068162018014,0.0789164742196613,0.006853694042487257,0.15746523570185603,0.36569218556461824
8,0.3284502921790703,-0.2619667354810336,0.0062488557640692916,-0.0277855617696193,0.10861412742476734,-0.020358628674298718,0.16500803579250298,0.37173656351322626
9,0.3597877980966968,-0.28011574730342187,0.021767454460194013,-2.5055377220584152e-05,0.13831178062987337,-0.04757095139108469,0.17255083588314996,0.37778094146183433
10,0.3911253040143233,-0.29826475912581013,0.03728605315631875,0.027735451015178103,0.1680094338349794,-0.07478327410787067,0.1800936359737969,0.38382531941044234
11,0.4224628099319498,-0.31641377094819845,0.052804651852443485,0.05549595740757679,0.19770708704008544,-0.10199559682465664,0.18763643606444386,0.3898696973590504
12,0.4538003158495763,-0.3345627827705867,0.06832325054856822,0.08325646379997553,0.22740474024519142,-0.12920791954144262,0.1951792361550908,0.39591407530765843
13,0.4851378217672028,-0.35271179459297497,0.08384184924469296,0.11101697019237422,0.25710239345029745,-0.1564202422582286,0.20272203624573776,0.40195845325626645
14,0.5164753276848293,-0.37086080641536323,0.09936044794081769,0.1387774765847729,0.2868000466554035,-0.18363256497501457,0.2102648363363847,0.40800283120487446
15,0.5478128336024558,-0.3890098182377515,0.11487904663694243,0.16653798297717165,0.3164976998605095,-0.21084488769180054,0.21780763642703166,0.41404720915348253
16,0.5791503395200823,-0.40715883006013975,0.13039764533306716,0.19429848936957034,0.34619535306561555,-0.23805721040858652,0.2253504365176786,0.42009158710209055
17,0.6104878454377088,-0.425307841882528,0.1459162440291919,0.22205899576196902,0.37589300627072153,-0.2652695331253725,0.2328932366083256,0.42613596505069856
18,0.6418253513553354,-0.4434568537049163,0.1614348427253166,0.24981950215436777,0.4055906594758276,-0.29248185584215847,0.24043603669897254,0.43218034299930663
19,0.6731628572729619,-0.46160586552730454,0.17695344142144137,0.27758000854676645,0.4352883126809336,-0.31969417855894444,0.2479788367896195,0.43822472094791465
20,0.7045003631905884,-0.4797548773496928,0.19247204011756608,0.30534051493916514,0.4649859658860397,-0.3469065012757304,0.2555216368802664,0.44426909889652266
21,0.7358378691082148,-0.4979038891720811,0.20799063881369084,0.33310102133156383,0.49468361909114567,-0.3741188239925164,0.2630644369709134,0.4503134768451307
22,0.7671753750258413,-0.5160529009944694,0.22350923750981555,0.3608615277239625,0.5243812722962518,-0.40133114670930237,0.2706072370615603,0.45635785479373875
23,0.7985128809434678,-0.5342019128168576,0.23902783620594031,0.3886220341163613,0.5540789255013577,-0.42854346942608834,0.2781500371522073,0.46240223274234676
24,0.8298503868610944,-0.552350924639246,0.254546434902065,0.41638254050876,0.5837765787064637,-0.4557557921428743,0.28569283724285427,0.46844661069095483
25,0.8611878927787209,-0.5704999364616341,0.2700650335981898,0.4441430469011587,0.6134742319115698,-0.4829681148596603,0.2932356373335012,0.47449098863956285
26,0.8925253986963474,-0.5886489482840225,0.2855836322943145,0.4719035532935574,0.6431718851166758,-0.5101804375764463,0.30077843742414817,0.48053536658817086
27,0.9238629046139739,-0.6067979601064106,0.30110223099043926,0.49966405968595606,0.6728695383217819,-0.5373927602932322,0.3083212375147951,0.4865797445367789
28,0.9552004105316003,-0.624946971928799,0.31662082968656396,0.5274245660783548,0.7025671915268878,-0.5646050830100182,0.31586403760544207,0.49262412248538695
29,0.9865379164492268,-0.6430959837511873,0.33213942838268873,0.5551850724707535,0.7322648447319939,-0.5918174057268042,0.323406837696089,0.49866850043399497
30,1.0178754223668534,-0.6612449955735755,0.34765802707881344,0.5829455788631522,0.7619624979370999,-0.6190297284435902,0.33094963778673603,0.504712878382603
31,1.0492129282844798,-0.6793940073959638,0.3631766257749382,0.6107060852555509,0.791660151142206,-0.6462420511603761,0.3384924378773829,0.510757256331211
32,1.0805504342021064,-0.697543019218352,0.3786952244710629,0.6384665916479496,0.821357804347312,-0.6734543738771621,0.34603523796802993,0.5168016342798191
33,1.1118879401197328,-0.7156920310407403,0.39421382316718767,0.6662270980403483,0.851055457552418,-0.7006666965939481,0.3535780380586768,0.5228460122284271
34,1.1432254460373594,-0.7338410428631286,0.4097324218633124,0.693987604432747,0.8807531107575239,-0.7278790193107341,0.36112083814932383,0.5288903901770351
35,1.1745629519549858,-0.7519900546855168,0.4252510205594371,0.7217481108251457,0.91045076396263,-0.75509134202752,0.3686636382399708,0.5349347681256431
36,1.2059004578726125,-0.7701390665079051,0.4407696192555618,0.7495086172175445,0.9401484171677361,-0.782303664744306,0.37620643833061773,0.5409791460742512
37,1.2372379637902389,-0.7882880783302934,0.4562882179516866,0.7772691236099432,0.9698460703728422,-0.809515987461092,0.3837492384212647,0.5470235240228593
38,1.2685754697078655,-0.8064370901526816,0.4718068166478113,0.8050296300023418,0.9995437235779481,-0.836728310177878,0.39129203851191163,0.5530679019714673
39,1.299912975625492,-0.8245861019750699,0.48732541534393603,0.8327901363947405,1.0292413767830542,-0.8639406328946639,0.3988348386025586,0.5591122799200753
