step,q1,q2,q3,q4,q5,q6,q7,q8
0,0.07775024483805826,-0.11677464090192746,-0.11789993380492858,-0.24986961290880894,-0.12896709821608088,0.19733995305998908,0.10466563506732735,0.323381539924362
1,-0.007991481862423308,-0.02271932360428397,-0.11136864837658784,-0.3515835033295617,-0.07366016681241214,0.11699810275017297,0.09045440459253055,0.38419232640575335
2,-0.07891625796609789,0.08461268559082954,-0.10274606632412657,-0.4435412356031164,-0.030514416883695793,0.03510589166518653,0.0756242418833286,0.4624937873841847
3,-0.14984103406977245,0.19194469478594306,-0.0941234842716653,-0.5354989678766712,0.012631333045020537,-0.04678631941979988,0.06079407917412665,0.5407952483626159
4,-0.22076581017344704,0.29927670398105655,-0.08550090221920402,-0.6274567001502259,0.055777082973736875,-0.1286785305047863,0.0459639164649247,0.6190967093410473
5,-0.29169058627712163,0.4066087131761701,-0.07687832016674273,-0.7194144324237807,0.09892283290245321,-0.21057074158977276,0.03113375375572275,0.6973981703194786
6,-0.4145729936705996,0.44146776530984594,-0.05465752028366906,-0.8430011369513428,0.13622290380922247,-0.28271658570787694,-0.00033848948403317897,0.6792184358221797
7,-0.5374554010640775,0.4763268174435218,-0.03243672040059538,-0.9665878414789049,0.17352297471599176,-0.3548624298259811,-0.03181073272378912,0.6610387013248809
8,-0.598653891752395,0.49368749113682997,-0.021370210201321516,-1.0281370896313404,0.19209933638143434,-0.39079285195162167,-0.04748469147592611,0.6519847420482978
9,-0.5654407823615796,0.5887807342258213,-0.06890553696634807,-1.0128757264750745,0.28591750219616874,-0.4053439351290733,-0.0019398215592419058,0.7795532748185726
10,-0.6511825090620612,0.6828360515234648,-0.062374251538007325,-1.1145896168958274,0.3412244335998375,-0.4856857854388894,-0.016151052034038695,0.840364061299964
11,-0.7369242357625427,0.7768913688211083,-0.05584296610966658,-1.2163035073165802,0.3965313650035063,-0.5660276357487055,-0.030362282508835478,0.9011748477813553
12,-0.8226659624630243,0.8709466861187518,-0.04931168068132584,-1.3180173977373328,0.45183829640717504,-0.6463694860585216,-0.04457351298363226,0.9619856342627465
13,-0.9084076891635058,0.9650020034163953,-0.0427803952529851,-1.4197312881580857,0.5071452278108438,-0.7267113363683377,-0.05878474345842905,1.0227964207441378
14,-0.9941494158639873,1.0590573207140388,-0.036249109824644354,-1.5214451785788385,0.5624521592145125,-0.8070531866781538,-0.07299597393322584,1.0836072072255292
15,-1.0798911425644688,1.1531126380116823,-0.029717824396303612,-1.6231590689995914,0.6177590906181812,-0.88739503698797,-0.08720720440802263,1.1444179937069205
16,-1.1656328692649505,1.2471679553093258,-0.02318653896796287,-1.7248729594203442,0.67306602202185,-0.9677368872977861,-0.10141843488281942,1.205228780188312
17,-1.251374595965432,1.3412232726069693,-0.016655253539622127,-1.826586849841097,0.7283729534255187,-1.0480787376076022,-0.11562966535761621,1.2660395666697033
