step,q1,q2,q3,q4,q5,q6,q7,q8
0,0.07775024483805826,-0.11677464090192746,-0.11789993380492858,-0.24986961290880894,-0.12896709821608088,0.19733995305998908,0.10466563506732735,0.323381539924362
1,0.09661173183383524,-0.15107270805063008,-0.12019038078071922,-0.20670753509391604,-0.16401035497285582,0.21551624813246345,0.10555198912832031,0.269348677991464
2,0.11547321882961223,-0.1853707751993327,-0.12248082775650987,-0.16354545727902314,-0.1990536117296308,0.23369254320493782,0.10643834318931328,0.21531581605856595
3,0.1343347058253892,-0.21966884234803535,-0.12477127473230051,-0.12038337946413027,-0.23409686848640576,0.2518688382774122,0.10732469725030624,0.1612829541256679
4,0.1531961928211662,-0.25396690949673795,-0.12706172170809116,-0.07722130164923738,-0.2691401252431807,0.27004513334988656,0.10821105131129921,0.10725009219276987
5,0.17205767981694317,-0.2882649766454406,-0.1293521686838818,-0.03405922383434448,-0.30418338199995565,0.2882214284223609,0.10909740537229218,0.05321723025987185
6,0.19091916681272014,-0.32256304379414324,-0.13164261565967245,0.009102853980548387,-0.33922663875673065,0.3063977234948353,0.10998375943328514,-0.0008156316730262292
7,0.20978065380849714,-0.3568611109428459,-0.1339330626354631,0.05226493179544128,-0.3742698955135056,0.32457401856730966,0.11087011349427811,-0.05484849360592425
8,0.2286421408042741,-0.3911591780915485,-0.13622350961125373,0.09542700961033418,-0.40931315227028053,0.34275031363978403,0.11175646755527108,-0.10888135553882228
9,0.24750362780005108,-0.42545724524025114,-0.13851395658704438,0.13858908742522708,-0.4443564090270555,0.3609266087122584,0.11264282161626404,-0.1629142174717203
10,0.2663651147958281,-0.45975531238895373,-0.14080440356283502,0.18175116524011997,-0.4793996657838304,0.37910290378473277,0.11352917567725701,-0.21694707940461833
11,0.2852266017916051,-0.4940533795376564,-0.14309485053862567,0.22491324305501287,-0.5144429225406054,0.39727919885720714,0.11441552973824999,-0.27097994133751635
12,0.304088088787382,-0.528351446686359,-0.1453852975144163,0.2680753208699057,-0.5494861792973804,0.4154554939296815,0.11530188379924296,-0.3250128032704145
13,0.322949575783159,-0.5626495138350616,-0.14767574449020696,0.3112373986847986,-0.5845294360541553,0.4336317890021559,0.11618823786023592,-0.3790456652033125
14,0.341811062778936,-0.5969475809837643,-0.1499661914659976,0.3543994764996915,-0.6195726928109303,0.45180808407463025,0.11707459192122889,-0.43307852713621053
15,0.36067254977471297,-0.6312456481324669,-0.15225663844178827,0.3975615543145844,-0.6546159495677052,0.4699843791471046,0.11796094598222186,-0.48711138906910856
16,0.37953403677048997,-0.6655437152811695,-0.1545470854175789,0.4407236321294773,-0.6896592063244802,0.488160674219579,0.11884730004321482,-0.5411442510020066
17,0.39839552376626697,-0.6998417824298722,-0.15683753239336956,0.4838857099443702,-0.7247024630812552,0.5063369692920534,0.11973365410420779,-0.5951771129349046
18,0.4172570107620439,-0.7341398495785748,-0.15912797936916018,0.5270477877592631,-0.7597457198380301,0.5245132643645277,0.12062000816520076,-0.6492099748678026
19,0.4361184977578209,-0.7684379167272773,-0.16141842634495085,0.570209865574156,-0.7947889765948051,0.542689559437002,0.12150636222619372,-0.7032428368007007
20,0.4549799847535979,-0.80273598387598,-0.16370887332074147,0.6133719433890489,-0.82983223335158,0.5608658545094765,0.12239271628718669,-0.7572756987335987
21,0.47384147174937485,-0.8370340510246826,-0.16599932029653214,0.6565340212039418,-0.864875490108355,0.5790421495819509,0.12327907034817966,-0.8113085606664967
22,0.49270295874515185,-0.8713321181733853,-0.16828976727232278,0.6996960990188347,-0.89991874686513,0.5972184446544252,0.12416542440917262,-0.8653414225993947
23,0.5115644457409289,-0.9056301853220879,-0.17058021424811343,0.7428581768337276,-0.9349620036219048,0.6153947397268995,0.1250517784701656,-0.9193742845322928
24,0.5304259327367058,-0.9399282524707906,-0.17287066122390407,0.7860202546486204,-0.9700052603786798,0.6335710347993739,0.12593813253115857,-0.973407146465191
25,0.5492874197324829,-0.9742263196194931,-0.17516110819969472,0.8291823324635132,-1.0050485171354548,0.6517473298718484,0.12682448659215154,-1.027440008398089
26,0.5681489067282598,-1.0085243867681957,-0.17745155517548536,0.8723444102784061,-1.0400917738922297,0.6699236249443227,0.1277108406531445,-1.081472870330987
27,0.5870103937240367,-1.0428224539168984,-0.179742002151276,0.915506488093299,-1.0751350306490046,0.688099920016797,0.12859719471413747,-1.135505732263885
28,0.6058718807198138,-1.0771205210656012,-0.18203244912706665,0.9586685659081919,-1.1101782874057797,0.7062762150892714,0.12948354877513044,-1.189538594196783
29,0.6247333677155907,-1.1114185882143037,-0.1843228961028573,1.0018306437230848,-1.1452215441625546,0.7244525101617458,0.1303699028361234,-1.2435714561296811
30,0.6435948547113677,-1.1457166553630063,-0.18661334307864794,1.0449927215379777,-1.1802648009193295,0.7426288052342201,0.13125625689711637,-1.2976043180625791
31,0.6624563417071447,-1.180014722511709,-0.18890379005443858,1.0881547993528706,-1.2153080576761046,0.7608051003066945,0.13214261095810934,-1.3516371799954772
32,0.6813178287029217,-1.2143127896604116,-0.19119423703022922,1.1313168771677635,-1.2503513144328795,0.7789813953791689,0.1330289650191023,-1.4056700419283752
33,0.7001793156986986,-1.248610856809114,-0.19348468400601987,1.1744789549826564,-1.2853945711896544,0.7971576904516433,0.13391531908009527,-1.4597029038612732
34,0.7190408026944757,-1.2829089239578169,-0.1957751309818105,1.2176410327975493,-1.3204378279464295,0.8153339855241176,0.13480167314108824,-1.5137357657941712
35,0.7379022896902526,-1.3172069911065194,-0.19806557795760116,1.2608031106124422,-1.3554810847032044,0.8335102805965919,0.1356880272020812,-1.5677686277270693
36,0.7567637766860296,-1.3515050582552222,-0.2003560249333918,1.303965188427335,-1.3905243414599793,0.8516865756690664,0.13657438126307417,-1.6218014896599673
37,0.7756252636818066,-1.3858031254039247,-0.20264647190918245,1.347127266242228,-1.4255675982167544,0.8698628707415408,0.13746073532406713,-1.6758343515928653
38,0.7944867506775836,-1.4201011925526272,-0.2049369188849731,1.390289344057121,-1.4606108549735293,0.8880391658140151,0.1383470893850601,-1.7298672135257633
39,0.8133482376733606,-1.45439925970133,-0.20722736586076373,1.4334514218720138,-1.4956541117303042,0.9062154608864894,0.13923344344605307,-1.7839000754586616
