point_id,region_id,u_m,v_m,x_m,y_m,z_m,nx,ny,nz
0,0,18.600000000,-0.000000000,-0.001687243,0.070489594,37.675276528,-0.999999996,-0.000000073,-0.000090712
1,0,18.650000000,-0.000000000,-0.001691779,0.070489381,37.725276528,-0.999999996,-0.000000073,-0.000090712
2,0,18.700000000,-0.000000000,-0.001696314,0.070489168,37.775276528,-0.999999996,-0.000000073,-0.000090712
3,0,18.750000000,-0.000000000,-0.001700850,0.070488956,37.825276527,-0.999999996,-0.000000073,-0.000090712
4,1,18.300000000,-0.000000000,-0.001660030,0.070490872,37.375276529,-0.999999996,-0.000000073,-0.000090712
5,1,18.350000000,-0.000000000,-0.001664565,0.070490659,37.425276529,-0.999999996,-0.000000073,-0.000090712
6,1,18.400000000,-0.000000000,-0.001669101,0.070490446,37.475276529,-0.999999996,-0.000000073,-0.000090712
7,2,17.650000000,-0.000000000,-0.001601067,0.070493639,36.725276532,-0.999999996,-0.000000073,-0.000090712
8,2,17.700000000,-0.000000000,-0.001605602,0.070493427,36.775276532,-0.999999996,-0.000000073,-0.000090712
9,2,17.750000000,-0.000000000,-0.001610138,0.070493214,36.825276531,-0.999999996,-0.000000073,-0.000090712
10,2,17.800000000,-0.000000000,-0.001614674,0.070493001,36.875276531,-0.999999996,-0.000000073,-0.000090712
11,2,17.850000000,-0.000000000,-0.001619209,0.070492788,36.925276531,-0.999999996,-0.000000073,-0.000090712
12,2,17.900000000,-0.000000000,-0.001623745,0.070492575,36.975276531,-0.999999996,-0.000000073,-0.000090712
13,2,17.950000000,-0.000000000,-0.001628280,0.070492362,37.025276531,-0.999999996,-0.000000073,-0.000090712
14,2,18.000000000,-0.000000000,-0.001632816,0.070492149,37.075276530,-0.999999996,-0.000000073,-0.000090712
15,2,18.050000000,-0.000000000,-0.001637352,0.070491936,37.125276530,-0.999999996,-0.000000073,-0.000090712
16,2,18.100000000,-0.000000000,-0.001641887,0.070491723,37.175276530,-0.999999996,-0.000000073,-0.000090712
17,2,18.150000000,-0.000000000,-0.001646423,0.070491510,37.225276530,-0.999999996,-0.000000073,-0.000090712
18,3,17.400000000,-0.000000000,-0.001578389,0.070494704,36.475276533,-0.999999996,-0.000000073,-0.000090712
19,4,16.600000000,-0.000000000,-0.001505819,0.070498110,35.675276536,-0.999999996,-0.000000073,-0.000090712
20,4,16.650000000,-0.000000000,-0.001510355,0.070497898,35.725276536,-0.999999996,-0.000000073,-0.000090712
21,4,16.700000000,-0.000000000,-0.001514890,0.070497685,35.775276536,-0.999999996,-0.000000073,-0.000090712
22,4,16.750000000,-0.000000000,-0.001519426,0.070497472,35.825276536,-0.999999996,-0.000000073,-0.000090712
23,4,16.800000000,-0.000000000,-0.001523962,0.070497259,35.875276535,-0.999999996,-0.000000073,-0.000090712
24,4,16.850000000,-0.000000000,-0.001528497,0.070497046,35.925276535,-0.999999996,-0.000000073,-0.000090712
25,4,16.900000000,-0.000000000,-0.001533033,0.070496833,35.975276535,-0.999999996,-0.000000073,-0.000090712
26,4,16.950000000,-0.000000000,-0.001537568,0.070496620,36.025276535,-0.999999996,-0.000000073,-0.000090712
27,4,17.000000000,-0.000000000,-0.001542104,0.070496407,36.075276535,-0.999999996,-0.000000073,-0.000090712
28,4,17.050000000,-0.000000000,-0.001546640,0.070496194,36.125276534,-0.999999996,-0.000000073,-0.000090712
29,4,17.100000000,-0.000000000,-0.001551175,0.070495981,36.175276534,-0.999999996,-0.000000073,-0.000090712
30,4,17.150000000,-0.000000000,-0.001555711,0.070495769,36.225276534,-0.999999996,-0.000000073,-0.000090712
31,4,17.200000000,-0.000000000,-0.001560246,0.070495556,36.275276534,-0.999999996,-0.000000073,-0.000090712
32,4,17.250000000,-0.000000000,-0.001564782,0.070495343,36.325276534,-0.999999996,-0.000000073,-0.000090712
33,5,16.250000000,-0.000000000,-0.001474070,0.070499601,35.325276538,-0.999999996,-0.000000073,-0.000090712
34,5,16.300000000,-0.000000000,-0.001478606,0.070499388,35.375276537,-0.999999996,-0.000000073,-0.000090712
35,5,16.350000000,-0.000000000,-0.001483141,0.070499175,35.425276537,-0.999999996,-0.000000073,-0.000090712
36,6,15.668805480,-0.001154961,-0.001421349,0.069347114,34.744082015,-0.999999996,-0.000000073,-0.000090712
37,7,14.700000000,-0.000000000,-0.001333466,0.070506201,33.775276544,-0.999999996,-0.000000073,-0.000090712
38,7,14.750000000,-0.000000000,-0.001338002,0.070505988,33.825276544,-0.999999996,-0.000000073,-0.000090712
39,7,14.800000000,-0.000000000,-0.001342538,0.070505775,33.875276544,-0.999999996,-0.000000073,-0.000090712
40,7,14.850000000,-0.000000000,-0.001347073,0.070505562,33.925276543,-0.999999996,-0.000000073,-0.000090712
41,7,14.900000000,-0.000000000,-0.001351609,0.070505349,33.975276543,-0.999999996,-0.000000073,-0.000090712
42,7,14.950000000,-0.000000000,-0.001356144,0.070505136,34.025276543,-0.999999996,-0.000000073,-0.000090712
43,7,15.000000000,-0.000000000,-0.001360680,0.070504923,34.075276543,-0.999999996,-0.000000073,-0.000090712
44,7,15.050000000,-0.000000000,-0.001365216,0.070504711,34.125276543,-0.999999996,-0.000000073,-0.000090712
45,7,15.100000000,-0.000000000,-0.001369751,0.070504498,34.175276542,-0.999999996,-0.000000073,-0.000090712
46,7,15.150000000,-0.000000000,-0.001374287,0.070504285,34.225276542,-0.999999996,-0.000000073,-0.000090712
47,7,15.200000000,-0.000000000,-0.001378822,0.070504072,34.275276542,-0.999999996,-0.000000073,-0.000090712
48,7,15.250000000,-0.000000000,-0.001383358,0.070503859,34.325276542,-0.999999996,-0.000000073,-0.000090712
49,7,15.300000000,-0.000000000,-0.001387894,0.070503646,34.375276542,-0.999999996,-0.000000073,-0.000090712
50,7,15.350000000,-0.000000000,-0.001392429,0.070503433,34.425276541,-0.999999996,-0.000000073,-0.000090712
51,7,15.400000000,-0.000000000,-0.001396965,0.070503220,34.475276541,-0.999999996,-0.000000073,-0.000090712
52,8,13.800000000,-0.000000000,-0.001251826,0.070510033,32.875276548,-0.999999996,-0.000000073,-0.000090712
53,8,13.850000000,-0.000000000,-0.001256361,0.070509820,32.925276548,-0.999999996,-0.000000073,-0.000090712
54,8,13.900000000,-0.000000000,-0.001260897,0.070509607,32.975276547,-0.999999996,-0.000000073,-0.000090712
55,8,13.950000000,-0.000000000,-0.001265432,0.070509394,33.025276547,-0.999999996,-0.000000073,-0.000090712
56,8,14.000000000,-0.000000000,-0.001269968,0.070509182,33.075276547,-0.999999996,-0.000000073,-0.000090712
57,8,14.050000000,-0.000000000,-0.001274504,0.070508969,33.125276547,-0.999999996,-0.000000073,-0.000090712
58,8,14.100000000,-0.000000000,-0.001279039,0.070508756,33.175276547,-0.999999996,-0.000000073,-0.000090712
59,8,14.150000000,-0.000000000,-0.001283575,0.070508543,33.225276546,-0.999999996,-0.000000073,-0.000090712
60,8,14.200000000,-0.000000000,-0.001288110,0.070508330,33.275276546,-0.999999996,-0.000000073,-0.000090712
61,8,14.250000000,-0.000000000,-0.001292646,0.070508117,33.325276546,-0.999999996,-0.000000073,-0.000090712
62,8,14.300000000,-0.000000000,-0.001297182,0.070507904,33.375276546,-0.999999996,-0.000000073,-0.000090712
63,8,14.350000000,-0.000000000,-0.001301717,0.070507691,33.425276546,-0.999999996,-0.000000073,-0.000090712
64,8,14.400000000,-0.000000000,-0.001306253,0.070507478,33.475276545,-0.999999996,-0.000000073,-0.000090712
65,9,13.600000000,-0.000000000,-0.001233683,0.070510885,32.675276549,-0.999999996,-0.000000073,-0.000090712
66,9,13.650000000,-0.000000000,-0.001238219,0.070510672,32.725276548,-0.999999996,-0.000000073,-0.000090712
67,10,12.900000000,-0.000000000,-0.001170185,0.070513865,31.975276551,-0.999999996,-0.000000073,-0.000090712
68,10,12.950000000,-0.000000000,-0.001174720,0.070513653,32.025276551,-0.999999996,-0.000000073,-0.000090712
69,10,13.000000000,-0.000000000,-0.001179256,0.070513440,32.075276551,-0.999999996,-0.000000073,-0.000090712
70,10,13.050000000,-0.000000000,-0.001183792,0.070513227,32.125276551,-0.999999996,-0.000000073,-0.000090712
71,10,13.100000000,-0.000000000,-0.001188327,0.070513014,32.175276551,-0.999999996,-0.000000073,-0.000090712
72,10,13.150000000,-0.000000000,-0.001192863,0.070512801,32.225276550,-0.999999996,-0.000000073,-0.000090712
73,10,13.200000000,-0.000000000,-0.001197398,0.070512588,32.275276550,-0.999999996,-0.000000073,-0.000090712
74,10,13.250000000,-0.000000000,-0.001201934,0.070512375,32.325276550,-0.999999996,-0.000000073,-0.000090712
75,10,13.300000000,-0.000000000,-0.001206470,0.070512162,32.375276550,-0.999999996,-0.000000073,-0.000090712
76,10,13.350000000,-0.000000000,-0.001211005,0.070511949,32.425276550,-0.999999996,-0.000000073,-0.000090712
77,10,13.400000000,-0.000000000,-0.001215541,0.070511736,32.475276549,-0.999999996,-0.000000073,-0.000090712
78,11,12.600000000,-0.000000000,-0.001142971,0.070515143,31.675276553,-0.999999996,-0.000000073,-0.000090712
79,11,12.650000000,-0.000000000,-0.001147507,0.070514930,31.725276553,-0.999999996,-0.000000073,-0.000090712
80,11,12.700000000,-0.000000000,-0.001152042,0.070514717,31.775276552,-0.999999996,-0.000000073,-0.000090712
81,11,12.750000000,-0.000000000,-0.001156578,0.070514504,31.825276552,-0.999999996,-0.000000073,-0.000090712
82,12,12.300000000,-0.000000000,-0.001115758,0.070516420,31.375276554,-0.999999996,-0.000000073,-0.000090712
83,12,12.350000000,-0.000000000,-0.001120293,0.070516207,31.425276554,-0.999999996,-0.000000073,-0.000090712
84,12,12.400000000,-0.000000000,-0.001124829,0.070515995,31.475276554,-0.999999996,-0.000000073,-0.000090712
85,13,11.700000000,-0.000000000,-0.001061330,0.070518975,30.775276556,-0.999999996,-0.000000073,-0.000090712
86,14,11.100000000,-0.000000000,-0.001006903,0.070521530,30.175276559,-0.999999996,-0.000000073,-0.000090712
87,14,11.150000000,-0.000000000,-0.001011439,0.070521317,30.225276559,-0.999999996,-0.000000073,-0.000090712
88,14,11.200000000,-0.000000000,-0.001015974,0.070521104,30.275276559,-0.999999996,-0.000000073,-0.000090712
89,14,11.250000000,-0.000000000,-0.001020510,0.070520891,30.325276558,-0.999999996,-0.000000073,-0.000090712
90,14,11.300000000,-0.000000000,-0.001025046,0.070520678,30.375276558,-0.999999996,-0.000000073,-0.000090712
91,14,11.350000000,-0.000000000,-0.001029581,0.070520466,30.425276558,-0.999999996,-0.000000073,-0.000090712
92,15,10.450000000,-0.000000000,-0.000947940,0.070524298,29.525276562,-0.999999996,-0.000000073,-0.000090712
93,15,10.500000000,-0.000000000,-0.000952476,0.070524085,29.575276561,-0.999999996,-0.000000073,-0.000090712
94,15,10.550000000,-0.000000000,-0.000957012,0.070523872,29.625276561,-0.999999996,-0.000000073,-0.000090712
95,15,10.600000000,-0.000000000,-0.000961547,0.070523659,29.675276561,-0.999999996,-0.000000073,-0.000090712
96,15,10.650000000,-0.000000000,-0.000966083,0.070523446,29.725276561,-0.999999996,-0.000000073,-0.000090712
97,15,10.700000000,-0.000000000,-0.000970618,0.070523233,29.775276561,-0.999999996,-0.000000073,-0.000090712
98,15,10.750000000,-0.000000000,-0.000975154,0.070523020,29.825276560,-0.999999996,-0.000000073,-0.000090712
99,15,10.800000000,-0.000000000,-0.000979690,0.070522808,29.875276560,-0.999999996,-0.000000073,-0.000090712
100,15,10.850000000,-0.000000000,-0.000984225,0.070522595,29.925276560,-0.999999996,-0.000000073,-0.000090712
101,15,10.900000000,-0.000000000,-0.000988761,0.070522382,29.975276560,-0.999999996,-0.000000073,-0.000090712
102,15,10.950000000,-0.000000000,-0.000993296,0.070522169,30.025276560,-0.999999996,-0.000000073,-0.000090712
103,16,10.200000000,-0.000000000,-0.000925262,0.070525362,29.275276563,-0.999999996,-0.000000073,-0.000090712
104,16,10.250000000,-0.000000000,-0.000929798,0.070525149,29.325276562,-0.999999996,-0.000000073,-0.000090712
105,17,9.400000000,-0.000000000,-0.000852693,0.070528769,28.475276566,-0.999999996,-0.000000073,-0.000090712
106,17,9.450000000,-0.000000000,-0.000857228,0.070528556,28.525276566,-0.999999996,-0.000000073,-0.000090712
107,17,9.500000000,-0.000000000,-0.000861764,0.070528343,28.575276566,-0.999999996,-0.000000073,-0.000090712
108,17,9.550000000,-0.000000000,-0.000866300,0.070528130,28.625276565,-0.999999996,-0.000000073,-0.000090712
109,17,9.600000000,-0.000000000,-0.000870835,0.070527917,28.675276565,-0.999999996,-0.000000073,-0.000090712
110,17,9.650000000,-0.000000000,-0.000875371,0.070527704,28.725276565,-0.999999996,-0.000000073,-0.000090712
111,17,9.700000000,-0.000000000,-0.000879906,0.070527491,28.775276565,-0.999999996,-0.000000073,-0.000090712
112,17,9.750000000,-0.000000000,-0.000884442,0.070527279,28.825276564,-0.999999996,-0.000000073,-0.000090712
113,17,9.800000000,-0.000000000,-0.000888978,0.070527066,28.875276564,-0.999999996,-0.000000073,-0.000090712
114,17,9.850000000,-0.000000000,-0.000893513,0.070526853,28.925276564,-0.999999996,-0.000000073,-0.000090712
115,17,9.900000000,-0.000000000,-0.000898049,0.070526640,28.975276564,-0.999999996,-0.000000073,-0.000090712
116,17,9.950000000,-0.000000000,-0.000902584,0.070526427,29.025276564,-0.999999996,-0.000000073,-0.000090712
117,17,10.000000000,-0.000000000,-0.000907120,0.070526214,29.075276563,-0.999999996,-0.000000073,-0.000090712
118,17,10.050000000,-0.000000000,-0.000911656,0.070526001,29.125276563,-0.999999996,-0.000000073,-0.000090712
119,18,8.400000000,-0.000000000,-0.000761981,0.070533027,27.475276570,-0.999999996,-0.000000073,-0.000090712
120,18,8.450000000,-0.000000000,-0.000766516,0.070532814,27.525276570,-0.999999996,-0.000000073,-0.000090712
121,18,8.500000000,-0.000000000,-0.000771052,0.070532601,27.575276570,-0.999999996,-0.000000073,-0.000090712
122,18,8.550000000,-0.000000000,-0.000775588,0.070532388,27.625276569,-0.999999996,-0.000000073,-0.000090712
123,18,8.600000000,-0.000000000,-0.000780123,0.070532175,27.675276569,-0.999999996,-0.000000073,-0.000090712
124,18,8.650000000,-0.000000000,-0.000784659,0.070531962,27.725276569,-0.999999996,-0.000000073,-0.000090712
