architecture_id,design_name,task_count,normal_success_count,position_success_count,worst_position_error_m,worst_normal_error_deg,worst_normal_position_error_m,task_failure_types
urdf_baseline,6R_DROP_PAIR_3_URDF_BASELINE,4,0,4,1.8031572165554196e-10,156.24604604099366,0.5660557904754518,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}"
pitch_yaw_pitch_yaw,6R_DROP_PAIR_3_PITCH_YAW_PITCH_YAW,4,0,3,0.042606541804556,164.21198712180805,0.47659746942805825,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}"
pitch_yaw_yaw_yaw,6R_DROP_PAIR_3_PITCH_YAW_YAW_YAW,4,0,4,9.893284863528701e-10,165.38267609521753,0.48583630907411907,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}"
yaw_pitch_yaw_pitch,6R_DROP_PAIR_3_YAW_PITCH_YAW_PITCH,4,0,0,0.06135370106883146,159.02336525033573,0.6132409191561943,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}"
yaw_pitch_pitch_yaw,6R_DROP_PAIR_3_YAW_PITCH_PITCH_YAW,4,0,4,2.6749354686510347e-10,161.83254598834833,0.5347627822369743,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}"
pitch_roll_pitch_roll,6R_DROP_PAIR_3_PITCH_ROLL_PITCH_ROLL,4,0,0,0.06638001337582536,167.12679515723812,0.48978427214958375,"{'surface1_to_surface1_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface1_to_surface2_base_end_to_l8_end': 'POSITION_WORKSPACE', 'surface2_to_surface1_l8_end_to_base_end': 'POSITION_WORKSPACE', 'surface2_to_surface2_l8_end_to_base_end': 'POSITION_WORKSPACE'}"
